Project title,Project objectives / purpose,Start Date,End Date,NDP Pillar,Primary Sector,Links to other Sector,Reporting Agency,Funders,Implementers,Implementer Category,Project Value (USD),2015 Disbursements (USD),2016 Disbursements (USD),2017 Disbursements (USD),Sum 2015-17,Links to project webpages or documents,Gender,Capacity building,Stabilization,FGS,Benadir,Galmudug,Hiiraan & Middle Shabelle,Jubaland,Puntland,South West,Somaliland,Unattributed,FGS - 2015,Benadir - 2015,Galmudug - 2015,Hiiraan & Middle Shabelle - 2015,Jubaland - 2015,Puntland - 2015,South West - 2015,Somaliland - 2015,Unattributed - 2015,FGS - 2016,Benadir - 2016,Galmudug - 2016,Hiiraan & Middle Shabelle - 2016,Jubaland - 2016,Puntland - 2016,South West - 2016,Somaliland - 2016,Unattributed - 2016,FGS - 2017,Benadir - 2017,Galmudug - 2017,Hiiraan & Middle Shabelle - 2017,Jubaland - 2017,Puntland - 2017,South West - 2017,Somaliland - 2017,Unattributed - 2017
To decrease the burden of Tuberculosis in Somalia - 1,"    -To detect at least 65% of estimated TB cases (all forms), and maintain treatment success rate above 85% by 2015 and beyond through high quality DOTS and expansion.       -Strengthen MDR TB Services and TB/HIV collaborative interventions.      -To Strengthen NTP management capacity ",Jan-14,Dec-17,5. Social & Human Capital,Health,,The Global Fund,The Global Fund,WHO -HIV,UN,523505,202288,55527,55527,313342,,Principal,Principal,Not Targeted,,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,,0,28898,28898,28898,28898,28898,28898,28898,0,0,7932,7932,7932,7932,7932,7932,7932,0,0,7932,7932,7932,7932,7932,7932,7932,0
"Reconstruction of health infrastructure and improved access to healthcare in Banadir Region, Somalia",1. Improvement of health services in the area of mother-child health care  2. Improvement of technical capacities of health personnel and quality of services offered 3. Increase of awarenesss of local communities of Sexual- and Reproductive Health and use of health services 4. Strengthening of regional and local health authorities to provide health services,Aug-14,Jul-17,5. Social & Human Capital,Health,,Germany,German Federal Government ,Action Medeor,NGOs,788889,223889,219444,53889,497222,,Significant,Significant,Not targeted,,1,,,,,,,,0,223889,0,0,0,0,0,0,0,0,219444,0,0,0,0,0,0,0,0,53889,0,0,0,0,0,0,0
To decrease the burden of Tuberculosis in Somalia - 4,"    -To detect at least 65% of estimated TB cases (all forms), and maintain treatment success rate above 85% by 2015 and beyond through high quality DOTS and expansion.       -Strengthen MDR TB Services and TB/HIV collaborative interventions.      -To Strengthen NTP management capacity ",Jan-14,Dec-17,5. Social & Human Capital,Health,,The Global Fund,The Global Fund,Galkaio,NGOs,91917,11133,36432,44532,92097,,Principal,Principal,Not Targeted,,0,0,0,0,1,0,0,,0,0,0,0,0,11133,0,0,0,0,0,0,0,0,36432,0,0,0,0,0,0,0,0,44532,0,0,0
To decrease the burden of Tuberculosis in Somalia - 8,"    -To detect at least 65% of estimated TB cases (all forms), and maintain treatment success rate above 85% by 2015 and beyond through high quality DOTS and expansion.       -Strengthen MDR TB Services and TB/HIV collaborative interventions.      -To Strengthen NTP management capacity ",Jan-14,Dec-17,5. Social & Human Capital,Health,,The Global Fund,The Global Fund,SAACID,NGOs,181560,47220,43560,43560,134340,,Principal,Principal,Not Targeted,,1,0,0,0,0,0,0,,0,47220,0,0,0,0,0,0,0,0,43560,0,0,0,0,0,0,0,0,43560,0,0,0,0,0,0,0
To decrease the burden of Tuberculosis in Somalia - 7,"    -To detect at least 65% of estimated TB cases (all forms), and maintain treatment success rate above 85% by 2015 and beyond through high quality DOTS and expansion.       -Strengthen MDR TB Services and TB/HIV collaborative interventions.      -To Strengthen NTP management capacity ",Jan-14,Dec-17,5. Social & Human Capital,Health,,The Global Fund,The Global Fund,Hayat Group,NGOs,160560,40140,40140,40140,120420,,Principal,Principal,Not Targeted,,0,0,1,0,0,0,0,,0,0,0,40140,0,0,0,0,0,0,0,0,40140,0,0,0,0,0,0,0,0,40140,0,0,0,0,0
To decrease the burden of Tuberculosis in Somalia - 6,"    -To detect at least 65% of estimated TB cases (all forms), and maintain treatment success rate above 85% by 2015 and beyond through high quality DOTS and expansion.       -Strengthen MDR TB Services and TB/HIV collaborative interventions.      -To Strengthen NTP management capacity ",Jan-14,Dec-17,5. Social & Human Capital,Health,,The Global Fund,The Global Fund,RAO,NGOs,142800,35700,35700,35700,107100,,Principal,Principal,Not Targeted,,0,1,0,0,0,0,0,,0,0,35700,0,0,0,0,0,0,0,0,35700,0,0,0,0,0,0,0,0,35700,0,0,0,0,0,0
To decrease the burden of Tuberculosis in Somalia - 5,"    -To detect at least 65% of estimated TB cases (all forms), and maintain treatment success rate above 85% by 2015 and beyond through high quality DOTS and expansion.       -Strengthen MDR TB Services and TB/HIV collaborative interventions.      -To Strengthen NTP management capacity ",Jan-14,Dec-17,5. Social & Human Capital,Health,,The Global Fund,The Global Fund,Technoplan,NGOs,131790,33210,32580,32580,98370,,Principal,Principal,Not Targeted,,0,0,1,0,0,0,0,,0,0,0,33210,0,0,0,0,0,0,0,0,32580,0,0,0,0,0,0,0,0,32580,0,0,0,0,0
To decrease the burden of Tuberculosis in Somalia - 3,"    -To detect at least 65% of estimated TB cases (all forms), and maintain treatment success rate above 85% by 2015 and beyond through high quality DOTS and expansion.       -Strengthen MDR TB Services and TB/HIV collaborative interventions.      -To Strengthen NTP management capacity ",Jan-14,Dec-17,5. Social & Human Capital,Health,,The Global Fund,The Global Fund,DST -Hargeisa,NGOs,68846,12650,28098,28098,68846,,Principal,Principal,Not Targeted,,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,12650,0,0,0,0,0,0,0,0,28098,0,0,0,0,0,0,0,0,28098,0
"Improving Access WASH Services for IDPs and Host Communities in Belet-Xawa, Gedo",Promoting public health and livelihood through improved WASH services in refugee-impacted areas,May-17,Dec-17,5. Social & Human Capital,Health,,Germany,German Federal Government ,arche noVa e.V.,NGOs,935162,164051,771111,0,935162,,Not targeted,Significant,Principal,,,,,1,,,,,0,0,0,0,164051,0,0,0,0,0,0,0,0,771111,0,0,0,0,0,0,0,0,0,0,0,0,0
Health support,especially for cataract surgery,Jan-15,Sep-15,5. Social & Human Capital,Health,,Turkey (2015 data),Turkey,YARDIMELİ NGO,NGOs,30000,30000,0,0,30000,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joint Health and Nutirtion Programme (JHNP) - 11,FGM/C task forces made functional/regular meetings held,Jan-13,Dec-16,5. Social & Human Capital,Health,,UNFPA,JHNP (Joint Health & Nutrition Programme),UNFPA,UN,0,18000,12000,0,30000,,Principal,Principal,NA – not screened ,,,,,,,,,1,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,12000,0,0,0,0,0,0,0,0,0
Joint Health and Nutrition Programme (JHNP) - 10,Build and Strengthen the capacity of the MoHs on RH related issues,Jan-13,Dec-16,5. Social & Human Capital,Health,,UNFPA,JHNP (Joint Health & Nutrition Programme),UNFPA,UN,0,22500,22500,0,45000,,Significant,Significant,NA – not screened ,,,,,,,,,1,0,0,0,0,0,0,0,0,22500,0,0,0,0,0,0,0,0,22500,0,0,0,0,0,0,0,0,0
Joint Health and Nutrition Programme (JHNP) - 1,Conduct budget allocation and expenditure analysis,Jan-13,Dec-16,5. Social & Human Capital,Health,,WHO / UNICEF / UNFPA,JHNP (Joint Health & Nutrition Programme),WHO,UN,50000,0,50000,0,50000,,NA – not screened ,NA – not screened ,NA – not screened ,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,0,0,0,0
Joint Health and Nutrition Programme (JHNP) - 2,Strengthen M&E capacities through embedding national advisors at MoHs ,Jan-11,Dec-16,5. Social & Human Capital,Health,,WHO / UNICEF,JHNP (Joint Health & Nutrition Programme),WHO,UN,0,0,90000,0,90000,,NA – not screened ,NA – not screened ,NA – not screened ,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90000,0,0,0,0,0,0,0,0,0
Joint Health and Nutrition Programme (JHNP) - 3,Strengthen Health Policy and Reform unit at MoHs,Jan-11,Dec-16,5. Social & Human Capital,Health,,WHO / UNICEF / UNFPA,JHNP (Joint Health & Nutrition Programme),WHO,UN,0,0,100000,0,100000,,NA – not screened ,NA – not screened ,NA – not screened ,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0
Joint Health and Nutrition Programme (JHNP) - 4,Develop and implement a plan to train clinical service providers and pharmacists on rational use of drugs (including standard treatment guidelines),Jan-11,Dec-16,5. Social & Human Capital,Health,,WHO / UNICEF / UNFPA,JHNP (Joint Health & Nutrition Programme),WHO,UN,0,0,100000,0,100000,,Not targeted,Not targeted,Significant,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0
Health support - 1,Free check-ups at several regions of Somalia,Jan-15,Sep-15,5. Social & Human Capital,Health,,Turkey (2015 data),Turkey,NİL ORGANIZATION,NGOs,125488,125488,0,0,125488,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,125488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joint Health and Nutrition Programme (JHNP) - 5,"Strengthen National Health Professional Council (NHPC) in SL, establish NHPC in PL and adopt the NHPC act for CSZ ; Develop standards for registration, accreditation and licensing of health professionals",Jan-11,Dec-16,5. Social & Human Capital,Health,,WHO / UNICEF / UNFPA,JHNP (Joint Health & Nutrition Programme),WHO,UN,0,0,150000,0,150000,,NA – not screened ,NA – not screened ,NA – not screened ,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,0
Injectable Polio Vaccine Introduction,"Introduce injectable polio vaccine into the routine immunization program, as part of the polio end-game startegy.",Jun-15,Dec-15,5. Social & Human Capital,Health,,WHO,GAVI,"MOH, WHO, UNICEF, NGO","Government, UN & NGOs",199458,199458,0,0,199458,,Significant,Significant,Not targeted,,,,,,,,,1,0,0,0,0,0,0,0,0,199458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Docnet Private Sector Engagement,"The objective of this pilot intervention will be to enroll, train and brand 100 medical doctors into the franchise network and have them begin operating under the network banner. These 100 doctors will serve approximately 100,000 patients in the course of one year with access to quality, affordable primary healthcare.",Dec-16,Nov-17,5. Social & Human Capital,Health,,Switzerland,Switzerland,Cardno Emerging Markets EA,Private Sector,200000,0,0,200000,200000,,Not targeted,Significant,Not targeted,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000
Joint Health and Nutirtion Programme (JHNP) - 19,Rehabilitate and upgrade central and regional warehouses,Jan-13,Dec-16,5. Social & Human Capital,Health,,UNFPA,JHNP (Joint Health & Nutrition Programme),UNFPA,UN,0,165500,50500,0,216000,,Significant,Significant,NA – not screened ,,,,,,,,,1,0,0,0,0,0,0,0,0,165500,0,0,0,0,0,0,0,0,50500,0,0,0,0,0,0,0,0,0
Basic Health Care for Local Communities,Strenghtening of basic health care in cooperation with local communities and Somali Red Crescent,Jan-16,Dec-18,5. Social & Human Capital,Health,,Finland,Finland (+ECHO and Germany?),Somali Red Crescent,NGOs,0,0,366667,0,366667,,Significant,Significant,,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366667,0,0,0,0,0,0,0,0,0,0
Support to Somali national TB programmes,Supporting one clinic in Hargeisa and one in Mogadishu. Cooperation with Ministries of Health in strategic approaches to fighting tuberculosis,Jan-12,Dec-16,5. Social & Human Capital,Health,,Finland,Finland,"Physicians with social responsibility Hargeisa, National Tuberculosis program Somaliland, National Tuberculosis Program FGS",NGOs,1329577,274040,284227,0,558267,http://www.lsv.fi/,Significant,Principal,Not Targeted,0.5,,,,,,,0.5,,137020,0,0,0,0,0,0,137020,0,142113,0,0,0,0,0,0,142113,0,0,0,0,0,0,0,0,0,0
Afmadow Maternity and Child Clinic,Supporting health center in Afmadow,Jan-11,Dec-16,5. Social & Human Capital,Health,,Finland,Finland,Sahal Healthcare and Development Association (SHDA),NGOs,303069,53750,53750,0,107500,http://suomisomaliaseura.fi/,Significant,Significant,Not Targeted,,,,,1,,,,,0,0,0,0,53750,0,0,0,0,0,0,0,0,53750,0,0,0,0,0,0,0,0,0,0,0,0,0
Girls on the move,Basketball trainings and health education for girls in Hargeisa,Jan-15,Dec-16,5. Social & Human Capital,Health,,Finland,Finland,Shiffa ry,NGOs,93989,46789,47200,0,93989,,Principal,Not Targeted,Not Targeted,,,,,,,,1,,0,0,0,0,0,0,0,46789,0,0,0,0,0,0,0,0,47200,0,0,0,0,0,0,0,0,0,0
Integrated Health Care Program,"To scale up the development, promotion and strengthening of integrated community based health and care services focusing on preventive, promotive, and curative care and with emphasis on mother and child health",Mar-15,Feb-16,5. Social & Human Capital,Health,,Japan,Japan,IFRC,NGOs,270000,270000,0,0,270000,,Principal,Principal,Significant,,,,,,,,,1,0,0,0,0,0,0,0,0,270000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joint Health and Nutirtion Programme (JHNP) - 15,TOT for modern contraceptoin and family planning counseling methods and roll out ,Jan-13,Dec-16,5. Social & Human Capital,Health,,UNFPA,JHNP (Joint Health & Nutrition Programme),UNFPA,UN,0,215030,70288,0,285318,,Significant,Significant,NA – not screened ,,,,,,,,,1,0,0,0,0,0,0,0,0,215030,0,0,0,0,0,0,0,0,70288,0,0,0,0,0,0,0,0,0
Joint Health and Nutrition Programme (JHNP) - 6,Support to HSAT (Health Systems Analysis ) team and knowledge management,Jan-13,Dec-16,5. Social & Human Capital,Health,,WHO / UNICEF,JHNP (Joint Health & Nutrition Programme),WHO,UN,0,0,295617,0,295617,,Principal,Significant,Significant,,,,,,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295617,0,0,0,0,0,0,0,0,0
Maternal health Högsk.Dalarna,Pilot study collaboration between Dalarna University and Institute of Health Sciences in Hargeisa within the area of midwifery/nursing ,Nov-13,Mar-16,5. Social & Human Capital,Health,,Sweden,Sweden,Darlana University,Academic / Research Institutions,500595,238095,0,0,238095,,NA – not screened ,NA – not screened ,NA – not screened ,,,,,,,,1,,0,0,0,0,0,0,0,238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Islamic Relief Somalia Health,To increase access to health care services to vulnerable communities of Banadir region of South Central Somalia.,Sep-15,Aug-16,5. Social & Human Capital,Health,,Switzerland,Switzerland ,Islamic Relief,NGOs,221000,110500,110500,0,221000,,Significant,Significant,Significant,,1,,,,,,,,0,110500,0,0,0,0,0,0,0,0,110500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SOM, Pharmaceutical supply/value chain",desk-based review consultancy to consolidate existing knowledge on the dynamics of the private sector-led pharmaceutical market in Somalia and the immediately surrounding region. ,Jul-16,Oct-16,5. Social & Human Capital,Health,,Switzerland,Switzerland ,Harry Jeene,NGOs,30275,0,30275,0,30275,,Not Targeted,Not Targeted,Not Targeted,1,,,,,,,,,0,0,0,0,0,0,0,0,0,30275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
To decrease the burden of Tuberculosis in Somalia - 2,"    -To detect at least 65% of estimated TB cases (all forms), and maintain treatment success rate above 85% by 2015 and beyond through high quality DOTS and expansion.       -Strengthen MDR TB Services and TB/HIV collaborative interventions.      -To Strengthen NTP management capacity ",Jan-14,Dec-17,5. Social & Human Capital,Health,,The Global Fund,The Global Fund,COSV,NGOs,127108,31777,31777,31777,95331,,Principal,Principal,Not Targeted,,0,0,0,0,0,1,0,,0,0,0,0,0,0,31777,0,0,0,0,0,0,0,0,31777,0,0,0,0,0,0,0,0,31777,0,0
Construction of Somaliland Vocational School and sport center,,Jun-14,Jun-16,5. Social & Human Capital,Health,,Turkey (2015 data),Turkey,TİKA,Bilateral Agency,1430000,0,1180000,0,1180000,,,,,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180000,0,0,0,0,0,0,0,0,0,0
Joint Health and Nutrition Programme (JHNP) - 7,Undertake priority research and surveys based on the HSSP and M&E framework: Health Facility Assessment ,Jan-13,Dec-16,5. Social & Human Capital,Health,,WHO / UNICEF,JHNP (Joint Health & Nutrition Programme),WHO / UNFPA,UN,0,0,330000,0,330000,,Principal,Significant,Significant,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330000,0,0,0,0,0,0,0,0,0
Joint Health and Nutirtion Programme (JHNP) - 17,Expand community based birth spacing interventions,Jan-13,Dec-16,5. Social & Human Capital,Health,,UNFPA,JHNP (Joint Health & Nutrition Programme),UNFPA,UN,0,224320,124320,0,348640,,Significant,Significant,NA – not screened ,,,,,,,,,1,0,0,0,0,0,0,0,0,224320,0,0,0,0,0,0,0,0,124320,0,0,0,0,0,0,0,0,0
Medical Support - 1,Medicines and medical equipments donated to Somali-Turkey Education and Research Hospital (Erdoğan /ex Digfer Hospital) ,Jan-15,Sep-15,5. Social & Human Capital,Health,,Turkey (2015 data),Turkey,TİKA,Bilateral Agency,1600000,1600000,0,0,1600000,,,,,,1,,,,,,,,0,1600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical Support - 2,Medical equipment support to NISA,Jan-15,Sep-15,5. Social & Human Capital,Health,,Turkey (2015 data),Turkey,TİKA,Bilateral Agency,30000,30000,0,0,30000,,,,,,1,,,,,,,,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Operation of RTE/Digfer Hospital,,Jan-15,Dec-15,5. Social & Human Capital,Health,,Turkey (2015 data),Turkey,Ministry of Health of TR,Bilateral Agency,5880000,5500000,0,0,5500000,,,,,,1,,,,,,,,0,5500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Support to Policy, Strategies and Legal Frameworks","To support development of Policy, Strategies and Legal Frameworks through developing national health policy, community based health strategy and legal framework and public health law",Jan-12,Jun-16,5. Social & Human Capital,Health,,WHO / UNICEF / UNFPA,JHNP (Joint Health & Nutrition Programme),WHO,UN,1897008,180000,170000,0,350000,,NA – not screened ,Significant,Significant,,,,,,0.25,,0.25,0.5,0,0,0,0,0,45000,0,45000,90000,0,0,0,0,0,42500,0,42500,85000,0,0,0,0,0,0,0,0,0
support to Mogadishu Municipality - 2,bone and medical waste burning machine was hand overed to Mogadishu municipality,Jan-15,Sep-15,5. Social & Human Capital,Health,,Turkey (2015 data),Turkey,KIZILAY,NGOs,57000,57000,0,0,57000,,,,,,1,,,,,,,,0,57000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Health Consortium Somalia,"Somali people, especially women, children and the most vulnerable, increase utilization of quality health services contributing to MDGs 1,4, 5 & 6 in target areas",Jul-09,Mar-16,5. Social & Human Capital,Health,,UK,DFID,"Population Services International, Trociare, Save the Children, Health Poverty Action, Tropical Health and Education Trust",NGOs,64285714,14884179,2809643,0,17693822,http://devtracker.dfid.gov.uk/,Significant,Significant,Significant,,,,,0.2,0.2,,0.6,,0,0,0,0,2976836,2976836,0,8930507,0,0,0,0,0,561929,561929,0,1685786,0,0,0,0,0,0,0,0,0,0
Joint Health and Nutrition Programme (JHNP) - 8,"Health Sector Coordination: support HAB, HSC, TCG and SC meetings ",Jan-13,Dec-16,5. Social & Human Capital,Health,,WHO / UNICEF,JHNP (Joint Health & Nutrition Programme),WHO / UNFPA,UN,450000,0,450000,0,450000,,NA – not screened ,NA – not screened ,NA – not screened ,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450000,0,0,0,0,0,0,0,0,0
More communities use sustained WASH services and are empowered to stop harmful sanitation and hygiene behaviours.,"To establish the sustainable WASH facilities in Health centres, schools and communities in Somalia ",Jan-15,Dec-16,5. Social & Human Capital,Health,,UNICEF,UNICEF - GC,"UNICEF, MOH, MOWR,IMWSC, MOE","Government, UN & NGOs",2858188,1358500,1499688,0,2858188,,Significant,Significant,Significant,,0.1,0.1,0.2,0.1,0.15,0.1,0.25,,0,135850,135850,271700,135850,203775,135850,339625,0,0,149969,149969,299938,149969,224953,149969,374922,0,0,0,0,0,0,0,0,0,0
"provision of emergency WASH services to communities most affected by drought in Puntland and Somaliland, Somalia.","provision of  emergency WASH services to communities most affected by drought in Puntland and Somaliland, Somalia.   ",Mar-16,Aug-16,5. Social & Human Capital,Health,,UNICEF,CERF,UNICEF;PSAWEN;MOWR;MOH,"Government, UN & NGOs",1463158,0,1463158,0,1463158,,Significant,Significant,Significant,,,,,,0.5,0,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731579,0,731579,0,0,0,0,0,0,0,0,0,0
WASH Preparedness and Response Package in Somalia,WASH Preparedness and Response Package in Somalia,Jul-16,Dec-16,5. Social & Human Capital,Health,,UNICEF,ECHO,"UNICEF; PSAWEN, INTERSOS; SCC;SHRA;SOPHPA;GRRN;WARDI;CPD;SAIF;WOCCA;EVSO;PAH",UN & NGOs,521794,0,521794,0,521794,,Significant,Significant,Significant,,0.2,0.1,0.1,0.1,0.2,0.1,0.2,,0,0,0,0,0,0,0,0,0,0,104359,52179,52179,52179,104359,52179,104359,0,0,0,0,0,0,0,0,0,0
Sustainable WASH facilities in schools and communities in Somalia,"To establish the sustainable WASH facilities in Health centres, schools and communities in Somalia ",Feb-14,Dec-16,5. Social & Human Capital,Health,,UNICEF,UNICEF Swedish natcom,UNICEF;AYODA; MOH Puntland;PSAWEN; MOWR,UN & NGOs,791480,410074,381406,0,791480,,Significant,Significant,Significant,,0,0,0,0,0.5,0,0.5,,0,0,0,0,0,205037,0,205037,0,0,0,0,0,0,190703,0,190703,0,0,0,0,0,0,0,0,0,0
Joint Health and Nutrition Programme,"To establish the sustainable WASH facilities in Health centres, schools and communities in Somalia ",Sep-14,Mar-16,5. Social & Human Capital,Health,,UNICEF,"USAID, DFID, Sweden, Finland, Autralia, Swiss",UNICEF,UN,685613,577359,108254,0,685613,,Significant,Significant,Significant,,0.28,0.16,0,0,0.28,0,0.28,,0,161660,92377,0,0,161660,0,161660,0,0,30311,17321,0,0,30311,0,30311,0,0,0,0,0,0,0,0,0,0
Support to Health Service Delivery in Hargeisa Group Hospital,"Overall objective: Improve the health status of the population Specific objective: increase accessibility, efficiency, quality and sustainability of the Hargeisa Group Hospital services",Feb-13,May-16,5. Social & Human Capital,Health,,UNOPS,EUROPEAN COMMISSION,UNOPS,UN,1915494,563351,469814,0,1033165,http://data.unops.org/index.htm#SegmentCode=ORG&FocusCode=DATA_PROJECTS&EntityCode=PROJECT_ID&EntityValue=00084997##SectionCode=OVERVIEW,Not targeted,Not targeted,Not targeted,,,,,,0,,1,,0,0,0,0,0,0,0,563351,0,0,0,0,0,0,0,0,469814,0,0,0,0,0,0,0,0,0,0
Global Alliance for Vaccines and Immunization - Health Systems Strengthening Support for Somalis,Increase immunization coverage through deployment of 200 Lady Health Workes; support to 40 MCH clinics; increase awareness and demand for immunization services; operational research on service delivery models; institutional development of Ministries' of Health stewardship capacities ,Oct-11,Oct-16,5. Social & Human Capital,Health,,WHO,"WHO, GAVI (Global Alliance for Vaccines and Immunization)",WHO,UN,7338578,2642403,2501787,0,5144190,,Significant,Significant,Significant,,0.2,0.2,,,0.3,,0.3,,0,528481,528481,0,0,792721,0,792721,0,0,500357,500357,0,0,750536,0,750536,0,0,0,0,0,0,0,0,0,0
Prevention and control of noncommunicable diseases,"To prevent and control noncommunicable diseases through developing policies & strategies, building national capacity and establishing standards and norms",Jan-14,Dec-15,5. Social & Human Capital,Health,,WHO,Regular WHO budget,WHO,UN,151300,75650,120000,0,195650,,NA – not screened ,Significant,NA – not screened ,,0.17,0.17,,,0.33,,0.33,,0,12861,12861,0,0,24965,0,24965,0,0,20400,20400,0,0,39600,0,39600,0,0,0,0,0,0,0,0,0,0
Support to Health Financing,"Mentoring of MoH officials in key areas of health financing, e.g. costing / health financing strategy development",Feb-15,Jul-15,5. Social & Human Capital,Health,,WHO,Swiss Development Cooperation ,WHO,UN,65000,65000,0,0,65000,,NA – not screened ,NA – not screened ,NA – not screened ,0.333333333,,,,,0.333333333,,0.333333333,,21666.66667,0,0,0,0,21667,0,21667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Health System Support for Reduction of Maternal and Neonatal mortalities and related morbidities in Somalia,To reduce maternal and neonatal mortality rates,Apr-15,Mar-16,5. Social & Human Capital,Health,,Japan / UNFPA,Japan,UNFPA,UN,1000000,1000000,0,0,1000000,,Principal,Principal,Not Targeted,,,,,,,,,1,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joint Health and Nutirtion Programme (JHNP) - 18,Procure adequate supplies for RH,Jan-13,Dec-16,5. Social & Human Capital,Health,,UNFPA,JHNP (Joint Health & Nutrition Programme),UNFPA,UN,0,1036506,4097,0,1040603,,Significant,Significant,NA – not screened ,,,,,,,,,1,0,0,0,0,0,0,0,0,1036506,0,0,0,0,0,0,0,0,4097,0,0,0,0,0,0,0,0,0
Improved Management and Institutional Capacities,"Improved Management and Institutional Capacities through contribution to the implementation of Leadership & Management plan, Strenghen Health Policy and Reforms Units in MoH, Support the development of Regional Health Management System and improve monitoring and evaluation",Jan-14,Jun-16,5. Social & Human Capital,Health,,WHO / UNICEF / UNFPA,JHNP (Joint Health & Nutrition Programme),WHO,UN,1188492,150000,1038492,0,1188492,,NA – not screened ,Significant,Significant,,,,,,,,,1,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,1038492,0,0,0,0,0,0,0,0,0
Joint Health and Nutirtion Programme (JHNP) - 14,Establish two new midwifery schools for CSZ with running cost (120 midwives),Jan-13,Dec-16,5. Social & Human Capital,Health,,UNFPA,JHNP (Joint Health & Nutrition Programme),UNFPA,UN,0,1085770,143033,0,1228803,,Significant,Significant,NA – not screened ,,,,,,,,,1,0,0,0,0,0,0,0,0,1085770,0,0,0,0,0,0,0,0,143033,0,0,0,0,0,0,0,0,0
Joint Health and Nutirtion Programme (JHNP) - 13,Basic training of midwives in Puntland and Somaliland through midwifery schools,Jan-13,Dec-16,5. Social & Human Capital,Health,,UNFPA,JHNP (Joint Health & Nutrition Programme),UNFPA,UN,0,806559,753441,0,1560000,,Significant,Significant,NA – not screened ,,,,,,,,,1,0,0,0,0,0,0,0,0,806559,0,0,0,0,0,0,0,0,753441,0,0,0,0,0,0,0,0,0
Joint Health and Nutrition Programme (JHNP) - 9,Sufficient Skilled health professionals and workers to implement EPHS/RMNCH services,Jan-13,Dec-16,5. Social & Human Capital,Health,,WHO / UNICEF,JHNP (Joint Health & Nutrition Programme),WHO / UNFPA,UN,2803187,0,1561743,0,1561743,,Principal,Significant,Significant,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1561743,0,0,0,0,0,0,0,0,0
Continuation and Expansion of Health System Support for Reduction of Maternal amd Neomaternal Mortalities and Related Morbidities in Somalia,Strengthen health system capacity for reduction of maternal and neonatal mortality rates in Somalia,Apr-16,Mar-17,5. Social & Human Capital,Health,,Japan / UNFPA,Japan,UNFPA,UN,1800000,0,1800000,0,1800000,,Principal,Principal,Significant,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800000,0,0,0,0,0,0,0,0,0
